,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,state
59,59,21.479668200000013,2025-02-13 07:58:23.267154,2025-02-13 07:59:17.568229,0 days 00:00:54.301075,relu,256,0.170165496181958,0.007678901402726478,0.9115610964594923,0.9659335634863433,0.0002368422890106551,0.5191222171365362,8,11,small,0.061738086749737686,0.49349835454792185,COMPLETE
60,60,418.79919069999994,2025-02-13 07:59:17.570017,2025-02-13 08:00:14.975209,0 days 00:00:57.405192,tanh,1024,0.16147158468162176,0.062246163874426455,0.9344740499318998,0.9861807525538132,0.00047783356931005406,1.4825308459963102,10,12,tiny,0.10360917933522935,0.44312517197321943,COMPLETE
61,61,529.3143547000001,2025-02-13 08:00:14.976905,2025-02-13 08:01:16.193257,0 days 00:01:01.216352,tanh,256,0.20051517113092013,0.002008968048539696,0.9202992840790566,0.9811238460345915,0.00022507538037835157,0.7604985417550066,9,11,tiny,0.02851573448692946,0.41886372971434355,COMPLETE
62,62,419.0473549,2025-02-13 08:01:16.195137,2025-02-13 08:02:17.942736,0 days 00:01:01.747599,tanh,256,0.2144068073467512,0.0022764039513906943,0.9151769728321335,0.9846123341751769,8.725214749202995e-05,0.8086345993387432,9,11,tiny,0.04495107814525393,0.4364353010678975,COMPLETE
63,63,389.6916476,2025-02-13 08:02:17.944608,2025-02-13 08:03:23.070622,0 days 00:01:05.126014,tanh,256,0.20241528177815918,0.0016260513595875755,0.9068976974660695,0.9799157062312076,0.0002772767705783155,0.8666254935497947,11,11,tiny,0.02163702135033578,0.3587136394572597,COMPLETE
64,64,529.8908566,2025-02-13 08:03:23.072367,2025-02-13 08:04:24.827090,0 days 00:01:01.754723,tanh,256,0.20643620532795617,0.0013918794506911018,0.929686267216087,0.976689416363567,0.0009520998017440812,0.568653917218195,9,11,tiny,0.03683066072381173,0.46261459676375283,COMPLETE
65,65,514.5865541000001,2025-02-13 08:04:24.828910,2025-02-13 08:06:00.757312,0 days 00:01:35.928402,tanh,64,0.19325464525757302,0.0034623790601246507,0.9256249036374743,0.9833054324118014,7.135069483682154e-05,0.9631557277094469,10,11,tiny,0.08655418707677262,0.5056138447886455,COMPLETE
66,66,469.7293358,2025-02-13 08:06:00.759261,2025-02-13 08:06:59.403378,0 days 00:00:58.644117,tanh,256,0.2101377785190228,0.004287210710704192,0.9452805003993717,0.9738007200092511,0.00010657837206610096,1.15351591379673,8,10,tiny,0.03335858030398457,0.3907711740632601,COMPLETE
67,67,533.6959417999999,2025-02-13 08:06:59.404989,2025-02-13 08:08:01.217727,0 days 00:01:01.812738,tanh,256,0.17384992307059302,0.14506126395337424,0.9033644294986543,0.9887901414601683,0.00017614140882062275,1.0457795113713784,9,11,tiny,0.1273160285144131,0.42760102972171016,COMPLETE
68,68,-1606.7797909000003,2025-02-13 08:08:01.219808,2025-02-13 08:08:51.005223,0 days 00:00:49.785415,relu,512,0.2235730687013005,0.00231294230711155,0.9645362275838907,0.9800375178911633,6.355597973983952e-05,1.2457547085838392,10,11,small,0.11180559936505646,0.37042394757484,COMPLETE
69,69,404.0330961,2025-02-13 08:08:51.006855,2025-02-13 08:10:19.954345,0 days 00:01:28.947490,tanh,64,0.155861749110536,0.040985576401872115,0.9098044565546888,0.9773952780560512,5.547172830868384e-05,0.6748117967435446,9,10,tiny,0.09275123067178065,0.4739723196274117,COMPLETE
70,70,481.01478239999994,2025-02-13 08:10:19.956365,2025-02-13 08:11:11.645194,0 days 00:00:51.688829,tanh,1024,0.18821447866597335,0.004849289835769539,0.9529839032911582,0.9689765634998505,0.00012179016504075176,0.44841901276778734,8,11,tiny,0.08218679738184549,0.6563940019646306,COMPLETE
71,71,466.1753648,2025-02-13 08:11:11.647128,2025-02-13 08:12:12.594962,0 days 00:01:00.947834,tanh,256,0.20019207274270526,0.0011545707946834104,0.9195145068754131,0.9786672771912027,7.956206826401023e-05,0.669087585273663,9,11,tiny,0.022009447556353604,0.4200864928492416,COMPLETE
72,72,415.534382,2025-02-13 08:12:12.596552,2025-02-13 08:13:12.957156,0 days 00:01:00.360604,tanh,256,0.1955154117062174,0.0010136194884281407,0.9172229620714762,0.9826384637116049,9.578247957701482e-05,0.6181977352879575,9,11,tiny,0.02414190246485894,0.45529931071951274,COMPLETE
73,73,539.0715801,2025-02-13 08:13:12.958847,2025-02-13 08:14:13.100102,0 days 00:01:00.141255,tanh,256,0.2135086451609157,0.001253161713006335,0.913676830252743,0.9754038914834653,7.981556184583561e-05,0.7610749019598587,9,11,tiny,0.03086804016279009,0.4121970584950158,COMPLETE
